,link,reviews,score,star,short_name
M Social Singapore,"https://www.agoda.com/en-us/m-social-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16,8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",6553,8.2,4,m-social-singapore
YOTEL Singapore Orchard Road (SG Clean Certified),"https://www.agoda.com/en-us/yotel-singapore-orchard-road/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16,8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",9313,8.8,0,yotel-singapore-orchard-road
Hotel G Singapore (SG Clean Certified),"https://www.agoda.com/en-us/hotel-g-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=6,16,8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",8124,8.4,0,hotel-g-singapore
Resorts World Sentosa - Hotel Michael (SG Clean Certified),"https://www.agoda.com/en-us/resorts-world-sentosa-hotel-michael/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16,8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",5228,8.1,5,resorts-world-sentosa-hotel-michael
Pan Pacific Serviced Suites Beach Road (SG Clean Certified),https://www.agoda.com/en-us/pan-pacific-serviced-suites-beach-road-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,4813,8.8,0,pan-pacific-serviced-suites-beach-road-singapore
Hotel Boss,"https://www.agoda.com/en-us/hotel-boss/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=4,16,8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",14023,7.8,0,hotel-boss
Carlton Hotel Singapore - SG Clean Certified,https://www.agoda.com/en-us/carlton-hotel-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,28366,8.5,0,carlton-hotel-singapore
Goodwood Park Hotel (SG Clean Certified),"https://www.agoda.com/en-us/goodwood-park-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16,8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",6453,8.6,5,goodwood-park-hotel
PARKROYAL on Beach Road Singapore (SG Clean Certified),https://www.agoda.com/en-us/parkroyal-on-beach-road-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,7409,8.3,0,parkroyal-on-beach-road-singapore
InterContinental Singapore (SG Clean Certified),https://www.agoda.com/en-us/intercontinental-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,2485,8.8,5,intercontinental-singapore
